case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,n_txns,exposure_usd,report_filed,analyst_notes,actions_taken
CC-0001,C00259,C00259-K1,2016-07-02 07:17:26,2016-07-06 01:17:26,confirmed_fraud,card_not_present_fraud,3000120,1,155.43,No,Case CC-0001: cardholder C00259 reported unrecognized activity on card C00259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $155.43 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.,CREATE_CASE|BLOCK_CARD
CC-0002,C06403,C06403-K2,2016-07-02 08:51:57,2016-07-04 05:51:57,confirmed_fraud,out_of_region_use,3000332,1,117.05,No,"Case CC-0002: cardholder C06403 reported unrecognized activity on card C06403-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $117.05 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",CREATE_CASE|BLOCK_CARD
CC-0003,C05876,C05876-K2,2016-07-02 16:34:01,2016-07-05 13:34:01,cleared,none,,1,0.00,No,Case CC-0003: model scored a $442.92 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD
CC-0004,C13440,C13440-K2,2016-07-02 20:05:35,2016-07-05 17:05:35,confirmed_fraud,out_of_region_use,3000906,2,857.92,No,"Case CC-0004: cardholder C13440 reported unrecognized activity on card C13440-K2. 2 transaction(s) between 2016-07-02 and 2016-07-02 totaling $857.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",CREATE_CASE|BLOCK_CARD
CC-0005,C08945,C08945-K2,2016-07-02 21:10:20,2016-07-04 02:10:20,confirmed_fraud,out_of_region_use,3000183,1,39.92,No,"Case CC-0005: cardholder C08945 reported unrecognized activity on card C08945-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $39.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",CREATE_CASE|BLOCK_CARD
CC-0006,C11227,C11227-K2,2016-07-02 21:21:35,2016-07-08 18:21:35,confirmed_fraud,out_of_region_use,3001230,1,265.07,No,"Case CC-0006: cardholder C11227 reported unrecognized activity on card C11227-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $265.07 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",CREATE_CASE|BLOCK_CARD
CC-0007,C00732,C00732-K1,2016-07-03 00:45:04,2016-07-07 03:45:04,confirmed_fraud,card_not_present_fraud,3000264,1,99.91,No,Case CC-0007: cardholder C00732 reported unrecognized activity on card C00732-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $99.91 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed.,CREATE_CASE|BLOCK_CARD
CC-0008,C03667,C03667-K1,2016-07-03 00:56:48,2016-07-04 16:56:48,confirmed_fraud,account_takeover,3001018,1,49.04,No,Case CC-0008: cardholder C03667 reported unrecognized activity on card C03667-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $49.04 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,CREATE_CASE|BLOCK_CARD
CC-0009,C10112,C10112-K1,2016-07-03 05:55:45,2016-07-06 01:55:45,cleared,none,,1,0.00,No,Case CC-0009: model scored a $149.98 transaction at 0.84. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD
CC-0010,C03246,C03246-K1,2016-07-03 07:04:50,2016-07-04 04:04:50,cleared,none,,1,0.00,No,Case CC-0010: model scored a $96.95 transaction at 0.83. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD
