customer_id,n_cards
C00001,1
C00002,1
C00003,1
C00004,1
C00005,2
C00006,1
C00007,1
C00008,2
C00009,1
C00010,1
C00011,1
C00012,1
C00013,1
C00014,1
C00015,2
C00016,1
C00017,1
C00018,1
C00019,1
C00020,1
C00021,1
C00022,1
C00023,1
C00024,1
C00025,1
C00026,1
C00027,1
C00028,1
C00029,1
C00030,1
C00031,2
C00032,1
C00033,1
C00034,1
C00035,1
C00036,1
C00037,1
C00038,1
C00039,1
C00040,1
C00041,1
C00042,1
C00043,1
C00044,1
C00045,1
C00046,1
C00047,1
C00048,1
C00049,1
C00050,2
C00051,1
C00052,1
C00053,1
C00054,1
C00055,1
C00056,1
C00057,2
C00058,1
C00059,2
C00060,1
C00061,1
C00062,1
C00063,1
C00064,1
C00065,1
C00066,1
C00067,1
C00068,1
C00069,2
C00070,1
C00071,1
C00072,2
C00073,2
C00074,1
C00075,1
C00076,1
C00077,1
C00078,2
C00079,1
C00080,1
C00081,2
C00082,1
C00083,1
C00084,1
C00085,1
C00086,1
C00087,1
C00088,1
C00089,2
C00090,1
C00091,1
C00092,1
C00093,1
C00094,4
C00095,2
C00096,1
C00097,1
C00098,1
C00099,1
C00100,1
C00101,1
C00102,1
C00103,1
C00104,1
C00105,1
C00106,1
C00107,2
C00108,1
C00109,1
C00110,1
C00111,1
C00112,1
C00113,1
C00114,1
C00115,1
C00116,1
C00117,1
C00118,1
C00119,1
C00120,1
C00121,1
C00122,1
C00123,1
C00124,1
C00125,1
C00126,1
C00127,1
C00128,1
C00129,2
C00130,1
C00131,1
C00132,1
C00133,1
C00134,1
C00135,1
C00136,1
C00137,1
C00138,1
C00139,1
C00140,1
C00141,1
C00142,1
C00143,2
C00144,1
C00145,1
C00146,1
C00147,1
C00148,1
C00149,1
C00150,1
C00151,1
C00152,1
C00153,1
C00154,1
C00155,1
C00156,2
C00157,1
C00158,1
C00159,1
C00160,1
C00161,1
C00162,1
C00163,1
C00164,2
C00165,1
C00166,1
C00167,2
C00168,3
C00169,1
C00170,2
C00171,1
C00172,1
C00173,1
C00174,1
C00175,1
C00176,1
C00177,1
C00178,1
C00179,1
C00180,1
C00181,1
C00182,1
C00183,1
C00184,1
C00185,1
C00186,1
C00187,1
C00188,1
C00189,2
C00190,1
C00191,1
C00192,1
C00193,1
C00194,1
C00195,1
C00196,1
C00197,1
C00198,1
C00199,1
C00200,1
C00201,1
C00202,1
C00203,1
C00204,1
C00205,1
C00206,1
C00207,1
C00208,1
C00209,1
C00210,1
C00211,1
C00212,1
C00213,1
C00214,2
C00215,1
C00216,1
C00217,1
C00218,1
C00219,1
C00220,1
C00221,1
C00222,1
C00223,1
C00224,1
C00225,1
C00226,1
C00227,1
C00228,1
C00229,1
C00230,1
C00231,2
C00232,3
C00233,1
C00234,1
C00235,2
C00236,1
C00237,1
C00238,1
C00239,1
C00240,1
C00241,1
C00242,1
C00243,1
C00244,1
C00245,1
C00246,1
C00247,1
C00248,1
C00249,1
C00250,1
C00251,1
C00252,1
C00253,1
C00254,1
C00255,1
C00256,2
C00257,1
C00258,1
C00259,1
C00260,1
C00261,1
C00262,1
C00263,1
C00264,1
C00265,1
C00266,1
C00267,1
C00268,2
C00269,1
C00270,1
C00271,1
C00272,1
C00273,1
C00274,1
C00275,1
C00276,1
C00277,1
C00278,1
C00279,1
C00280,2
C00281,1
C00282,1
C00283,1
C00284,1
C00285,1
C00286,1
C00287,1
C00288,1
C00289,1
C00290,1
C00291,1
C00292,1
C00293,1
C00294,2
C00295,1
C00296,1
C00297,1
C00298,1
C00299,1
C00300,1
C00301,2
C00302,1
C00303,1
C00304,1
C00305,1
C00306,1
C00307,1
C00308,1
C00309,1
C00310,1
C00311,1
C00312,1
C00313,1
C00314,1
C00315,2
C00316,1
C00317,1
C00318,1
C00319,1
C00320,1
C00321,1
C00322,1
C00323,1
C00324,1
C00325,1
C00326,1
C00327,1
C00328,1
C00329,2
C00330,1
C00331,1
C00332,2
C00333,1
C00334,1
C00335,1
C00336,1
C00337,1
C00338,1
C00339,1
C00340,1
C00341,1
C00342,1
C00343,1
C00344,1
C00345,1
C00346,1
C00347,1
C00348,1
C00349,1
C00350,1
C00351,1
C00352,1
C00353,1
C00354,1
C00355,1
C00356,1
C00357,1
C00358,1
C00359,1
C00360,1
C00361,1
C00362,1
C00363,1
C00364,1
C00365,1
C00366,1
C00367,1
C00368,1
C00369,1
C00370,2
C00371,1
C00372,1
C00373,1
C00374,1
C00375,1
C00376,1
C00377,1
C00378,1
C00379,1
C00380,1
C00381,1
C00382,1
C00383,1
C00384,1
C00385,1
C00386,1
C00387,1
C00388,1
C00389,1
C00390,1
C00391,1
C00392,1
C00393,1
C00394,1
C00395,1
C00396,1
C00397,1
C00398,1
C00399,1
C00400,1
C00401,1
C00402,1
C00403,1
C00404,1
C00405,2
C00406,1
C00407,1
C00408,1
C00409,1
C00410,1
C00411,1
C00412,1
C00413,1
C00414,1
C00415,1
C00416,1
C00417,1
C00418,1
C00419,2
C00420,1
C00421,1
C00422,1
C00423,1
C00424,1
C00425,1
C00426,2
C00427,1
C00428,1
C00429,1
C00430,1
C00431,1
C00432,1
C00433,1
C00434,1
C00435,1
C00436,1
C00437,1
C00438,1
C00439,1
C00440,1
C00441,1
C00442,1
C00443,1
C00444,1
C00445,1
C00446,1
C00447,1
C00448,1
C00449,1
C00450,1
C00451,1
C00452,2
C00453,1
C00454,1
C00455,1
C00456,1
C00457,1
C00458,1
C00459,1
C00460,1
C00461,1
C00462,1
C00463,1
C00464,1
C00465,1
C00466,1
C00467,1
C00468,1
C00469,1
C00470,1
C00471,1
C00472,1
C00473,1
C00474,1
C00475,1
C00476,1
C00477,2
C00478,1
C00479,1
C00480,1
C00481,1
C00482,1
C00483,1
C00484,1
C00485,1
C00486,1
C00487,1
C00488,1
C00489,1
C00490,1
C00491,1
C00492,1
C00493,1
C00494,1
C00495,2
C00496,1
C00497,1
C00498,1
C00499,1
C00500,1
C00501,1
C00502,1
C00503,1
C00504,1
C00505,1
C00506,1
C00507,1
C00508,1
C00509,1
C00510,1
C00511,1
C00512,1
C00513,1
C00514,1
C00515,1
C00516,1
C00517,1
C00518,1
C00519,1
C00520,2
C00521,1
C00522,1
C00523,1
C00524,1
C00525,1
C00526,1
C00527,1
C00528,1
C00529,1
C00530,1
C00531,1
C00532,1
C00533,1
C00534,2
C00535,1
C00536,1
C00537,1
C00538,1
C00539,1
C00540,2
C00541,1
C00542,1
C00543,1
C00544,1
C00545,1
C00546,1
C00547,1
C00548,1
C00549,1
C00550,1
C00551,1
C00552,1
C00553,2
C00554,1
C00555,1
C00556,1
C00557,1
C00558,1
C00559,1
C00560,1
C00561,1
C00562,1
C00563,1
C00564,1
C00565,2
C00566,1
C00567,1
C00568,1
C00569,1
C00570,1
C00571,1
C00572,1
C00573,1
C00574,1
C00575,1
C00576,1
C00577,1
C00578,1
C00579,1
C00580,1
C00581,1
C00582,1
C00583,1
C00584,1
C00585,1
C00586,1
C00587,1
C00588,1
C00589,1
C00590,1
C00591,1
C00592,1
C00593,1
C00594,1
C00595,1
C00596,1
C00597,1
C00598,1
C00599,2
C00600,1
C00601,1
C00602,1
C00603,1
C00604,1
C00605,1
C00606,1
C00607,1
C00608,1
C00609,1
C00610,1
C00611,1
C00612,1
C00613,2
C00614,2
C00615,1
C00616,1
C00617,1
C00618,1
C00619,1
C00620,1
C00621,2
C00622,1
C00623,1
C00624,1
C00625,1
C00626,1
C00627,1
C00628,1
C00629,1
C00630,1
C00631,1
C00632,1
C00633,1
C00634,1
C00635,1
C00636,1
C00637,1
C00638,1
C00639,1
C00640,1
C00641,2
C00642,2
C00643,1
C00644,1
C00645,1
C00646,1
C00647,1
C00648,1
C00649,1
C00650,1
C00651,1
C00652,1
C00653,1
C00654,1
C00655,1
C00656,1
C00657,1
C00658,1
C00659,1
C00660,1
C00661,1
C00662,1
C00663,1
C00664,1
C00665,1
C00666,1
C00667,1
C00668,1
C00669,1
C00670,1
C00671,1
C00672,1
C00673,1
C00674,1
C00675,1
C00676,1
C00677,1
C00678,1
C00679,1
C00680,1
C00681,1
C00682,1
C00683,1
C00684,1
C00685,1
C00686,1
C00687,1
C00688,1
C00689,1
C00690,1
C00691,1
C00692,1
C00693,1
C00694,1
C00695,1
C00696,1
C00697,2
C00698,1
C00699,1
C00700,1
C00701,1
C00702,1
C00703,1
C00704,1
C00705,1
C00706,1
C00707,1
C00708,1
C00709,1
C00710,1
C00711,1
C00712,1
C00713,1
C00714,1
C00715,1
C00716,1
C00717,1
C00718,1
C00719,1
C00720,1
C00721,1
C00722,1
C00723,2
C00724,1
C00725,1
C00726,1
C00727,1
C00728,2
C00729,1
C00730,3
C00731,1
C00732,1
C00733,1
C00734,1
C00735,1
C00736,1
C00737,1
C00738,1
C00739,1
C00740,1
C00741,1
C00742,1
C00743,1
C00744,1
C00745,1
C00746,1
C00747,1
C00748,1
C00749,1
C00750,4
C00751,1
C00752,1
C00753,1
C00754,2
C00755,1
C00756,1
C00757,1
C00758,1
C00759,1
C00760,1
C00761,1
C00762,1
C00763,1
C00764,1
C00765,1
C00766,1
C00767,1
C00768,2
C00769,2
C00770,1
C00771,1
C00772,1
C00773,2
C00774,1
C00775,1
C00776,1
C00777,1
C00778,1
C00779,1
C00780,1
C00781,2
C00782,1
C00783,1
C00784,1
C00785,1
C00786,1
C00787,1
C00788,1
C00789,1
C00790,1
C00791,1
C00792,1
C00793,1
C00794,1
C00795,1
C00796,1
C00797,1
C00798,1
C00799,1
C00800,1
C00801,1
C00802,1
C00803,2
C00804,1
C00805,1
C00806,1
C00807,1
C00808,1
C00809,1
C00810,1
C00811,1
C00812,1
C00813,1
C00814,2
C00815,1
C00816,1
C00817,1
C00818,1
C00819,1
C00820,1
C00821,1
C00822,1
C00823,1
C00824,1
C00825,1
C00826,1
C00827,1
C00828,1
C00829,1
C00830,1
C00831,1
C00832,1
C00833,1
C00834,2
C00835,1
C00836,1
C00837,1
C00838,1
C00839,1
C00840,1
C00841,1
C00842,2
C00843,1
C00844,1
C00845,1
C00846,1
C00847,1
C00848,1
C00849,1
C00850,1
