device_profile_id,DeviceInfo,id_30,id_31,id_33
SAMSUNG SM-G892A Build/NRD90M|Android 7.0|samsung browser 6.2|2220x1080,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
iOS Device|iOS 11.1.2|mobile safari 11.0|1334x750,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
Windows|UNK|chrome 62.0|UNK,Windows,,chrome 62.0,
UNK|UNK|chrome 62.0|UNK,,,chrome 62.0,
MacOS|Mac OS X 10_11_6|chrome 62.0|1280x800,MacOS,Mac OS X 10_11_6,chrome 62.0,1280x800
Windows|Windows 10|chrome 62.0|1366x768,Windows,Windows 10,chrome 62.0,1366x768
UNK|Android|chrome 62.0|1920x1080,,Android,chrome 62.0,1920x1080
SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
Windows|Windows 10|chrome 62.0|1680x1050,Windows,Windows 10,chrome 62.0,1680x1050
UNK|Linux|chrome 62.0|1920x1080,,Linux,chrome 62.0,1920x1080
iOS Device|iOS 11.1.2|mobile safari 11.0|1136x640,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640
BLADE A602 Build/MRA58K|UNK|chrome 62.0 for android|UNK,BLADE A602 Build/MRA58K,,chrome 62.0 for android,
Windows|Windows 10|edge 15.0|UNK,Windows,Windows 10,edge 15.0,
iOS Device|iOS 11.0.3|mobile safari generic|1334x750,iOS Device,iOS 11.0.3,mobile safari generic,1334x750
MacOS|Mac OS X 10_7_5|chrome 49.0|1280x800,MacOS,Mac OS X 10_7_5,chrome 49.0,1280x800
XT1635-02 Build/NPN26.118-22-2|UNK|chrome 62.0 for android|UNK,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android,
MacOS|Mac OS X 10_12_6|chrome 61.0|5120x2880,MacOS,Mac OS X 10_12_6,chrome 61.0,5120x2880
MacOS|Mac OS X 10_12_6|chrome 62.0|2880x1800,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800
Windows|Windows 10|edge 16.0|1920x1200,Windows,Windows 10,edge 16.0,1920x1200
MacOS|Mac OS X 10_13_1|safari generic|2560x1600,MacOS,Mac OS X 10_13_1,safari generic,2560x1600
iOS Device|iOS 11.1.0|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536
Windows|Windows 10|chrome 62.0|1024x768,Windows,Windows 10,chrome 62.0,1024x768
Windows|Windows 10|edge 14.0|1366x768,Windows,Windows 10,edge 14.0,1366x768
Z970|Android|chrome 56.0 for android|1280x720,Z970,Android,chrome 56.0 for android,1280x720
UNK|Android|chrome 62.0|2560x1440,,Android,chrome 62.0,2560x1440
Windows|UNK|firefox 57.0|UNK,Windows,,firefox 57.0,
UNK|UNK|mobile safari 11.0|UNK,,,mobile safari 11.0,
iOS Device|iOS 11.1.2|mobile safari 11.0|2208x1242,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
iOS Device|iOS 11.0.3|mobile safari 11.0|2048x1536,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536
iOS Device|iOS 11.1.2|mobile safari 11.0|2001x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2001x1125
SM-N920V Build/NRD90M|Android 7.0|chrome 62.0 for android|UNK,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android,
Redmi Note 4 Build/MMB29M|UNK|chrome 54.0 for android|UNK,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,
iOS Device|iOS 11.1.2|mobile safari uiwebview|2048x1536,iOS Device,iOS 11.1.2,mobile safari uiwebview,2048x1536
iOS Device|iOS 11.1.2|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
Windows|Windows 10|chrome 62.0|1920x1080,Windows,Windows 10,chrome 62.0,1920x1080
MacOS|Mac OS X 10_9_5|chrome|1440x900,MacOS,Mac OS X 10_9_5,chrome,1440x900
UNK|UNK|safari generic|UNK,,,safari generic,
UNK|UNK|chrome 62.0 for ios|UNK,,,chrome 62.0 for ios,
Lenovo PB1-750M Build/S100|UNK|chrome 62.0 for android|UNK,Lenovo PB1-750M Build/S100,,chrome 62.0 for android,
MacOS|Mac OS X 10_13_1|safari generic|1600x900,MacOS,Mac OS X 10_13_1,safari generic,1600x900
Windows|Windows 7|chrome 62.0|1366x768,Windows,Windows 7,chrome 62.0,1366x768
iOS Device|iOS 11.1.2|mobile safari generic|2208x1242,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242
Windows|Windows 8.1|chrome 62.0|1366x768,Windows,Windows 8.1,chrome 62.0,1366x768
LT22i Build/6.2.A.1.100|UNK|chrome 62.0 for android|UNK,LT22i Build/6.2.A.1.100,,chrome 62.0 for android,
MacOS|Mac OS X 10_11_6|safari generic|1440x900,MacOS,Mac OS X 10_11_6,safari generic,1440x900
rv:52.0|Windows 10|firefox|1440x900,rv:52.0,Windows 10,firefox,1440x900
MacOS|Mac OS X 10_13_1|safari generic|1366x768,MacOS,Mac OS X 10_13_1,safari generic,1366x768
SM-G950U Build/NRD90M|UNK|chrome 60.0 for android|UNK,SM-G950U Build/NRD90M,,chrome 60.0 for android,
LG-H872 Build/NRD90U|Android 7.0|chrome 62.0 for android|2672x1440,LG-H872 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440
MacOS|Mac|safari generic|1440x900,MacOS,Mac,safari generic,1440x900
MacOS|Mac OS X 10_9_5|safari generic|1280x800,MacOS,Mac OS X 10_9_5,safari generic,1280x800
LG-K500 Build/MMB29M|UNK|chrome 62.0 for android|UNK,LG-K500 Build/MMB29M,,chrome 62.0 for android,
iOS Device|iOS 10.3.3|mobile safari 10.0|2208x1242,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242
iOS Device|iOS 10.3.3|mobile safari 10.0|2048x1536,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536
Windows|Windows 10|edge 14.0|UNK,Windows,Windows 10,edge 14.0,
UNK|UNK|mobile safari generic|UNK,,,mobile safari generic,
SM-P550 Build/MMB29M|UNK|chrome 62.0 for android|UNK,SM-P550 Build/MMB29M,,chrome 62.0 for android,
Windows|Windows 10|edge 15.0|1920x1080,Windows,Windows 10,edge 15.0,1920x1080
Windows|Windows 10|edge 14.0|1280x1024,Windows,Windows 10,edge 14.0,1280x1024
