TransactionID,device_profile_id,id_15,id_23,id_34,DeviceType
3005755,SAMSUNG SM-G892A Build/NRD90M|Android 7.0|samsung browser 6.2|2220x1080,New,,match_status:2,mobile
3009321,iOS Device|iOS 11.1.2|mobile safari 11.0|1334x750,New,,match_status:1,mobile
3002077,Windows|UNK|chrome 62.0|UNK,Found,,,desktop
3002048,UNK|UNK|chrome 62.0|UNK,New,,,desktop
3012577,MacOS|Mac OS X 10_11_6|chrome 62.0|1280x800,Found,,match_status:2,desktop
3002085,Windows|Windows 10|chrome 62.0|1366x768,Found,,match_status:2,desktop
3009324,,,,,
3002110,UNK|Android|chrome 62.0|1920x1080,Found,,match_status:2,mobile
3005830,Windows|UNK|chrome 62.0|UNK,Found,,,desktop
3002120,Windows|UNK|chrome 62.0|UNK,New,,,desktop
3005821,Windows|UNK|chrome 62.0|UNK,New,,,desktop
3012642,SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,New,,match_status:2,mobile
3002118,Windows|Windows 10|chrome 62.0|1680x1050,Found,,match_status:2,desktop
3009380,UNK|Linux|chrome 62.0|1920x1080,Found,,match_status:2,desktop
3000038,iOS Device|iOS 11.1.2|mobile safari 11.0|1136x640,New,,match_status:1,mobile
3002145,BLADE A602 Build/MRA58K|UNK|chrome 62.0 for android|UNK,New,,,mobile
3002149,Windows|UNK|chrome 62.0|UNK,New,,,desktop
3002161,Windows|UNK|chrome 62.0|UNK,New,,,desktop
3002169,Windows|Windows 10|edge 15.0|UNK,New,,match_status:2,desktop
3005904,iOS Device|iOS 11.0.3|mobile safari generic|1334x750,Found,IP_PROXY:TRANSPARENT,match_status:2,mobile
3000028,SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,New,,match_status:2,mobile
3012688,MacOS|Mac OS X 10_7_5|chrome 49.0|1280x800,Found,,match_status:2,desktop
3000029,SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,Found,,match_status:2,mobile
3002179,XT1635-02 Build/NPN26.118-22-2|UNK|chrome 62.0 for android|UNK,New,,,mobile
3009370,,,,,
3002187,Windows|UNK|chrome 62.0|UNK,New,,,desktop
3000044,Windows|UNK|chrome 62.0|UNK,Found,,,desktop
3002198,MacOS|Mac OS X 10_12_6|chrome 61.0|5120x2880,Found,,match_status:2,desktop
3002203,MacOS|Mac OS X 10_12_6|chrome 62.0|2880x1800,Found,,match_status:2,desktop
3002207,MacOS|Mac OS X 10_12_6|chrome 62.0|2880x1800,Found,,match_status:2,desktop
3005924,Windows|UNK|chrome 62.0|UNK,Found,,,desktop
3002220,Windows|Windows 10|edge 16.0|1920x1200,Found,,match_status:2,desktop
3002217,MacOS|Mac OS X 10_13_1|safari generic|2560x1600,New,,match_status:2,desktop
3002193,MacOS|Mac OS X 10_13_1|safari generic|2560x1600,Found,,match_status:2,desktop
3005912,iOS Device|iOS 11.1.0|mobile safari 11.0|2048x1536,New,,match_status:1,mobile
3002229,iOS Device|iOS 11.1.2|mobile safari 11.0|1334x750,New,,match_status:1,mobile
3002221,Windows|Windows 10|chrome 62.0|1024x768,New,,match_status:2,desktop
3002288,Windows|Windows 10|edge 14.0|1366x768,Found,,match_status:2,desktop
3006015,iOS Device|iOS 11.1.2|mobile safari 11.0|1136x640,New,,match_status:1,mobile
3006010,Z970|Android|chrome 56.0 for android|1280x720,New,,match_status:2,mobile
3009425,UNK|Android|chrome 62.0|2560x1440,Found,IP_PROXY:TRANSPARENT,match_status:2,mobile
